No.,Player,Apps,Mins,Total,AccLB,InAccLB,AccSP,InAccSP,Rating
28,Enner Valencia,3,257,17.7,-,0.3,12.3,5,7.30
29,Mohammed Al Owais,3,270,28.7,6.3,14.3,8,-,7.27
30,Frenkie de Jong,5,476,71.6,2,1.4,61.8,6.4,7.27
31,Diogo Dalot,3,259,39.7,2.7,2.7,29,5.3,7.27
32,Enzo Ebosse,1,90,37,4,2,30,1,7.26
33,Jordi Alba,4,266,80.5,2.5,1.3,70.8,6,7.26
34,Munir Mohamedi,1,90,24,5,9,10,-,7.26
35,Rodrigo Bentancur,3,214,52,1.3,1,43,6.7,7.24
36,Ramin Rezaeian,2,180,38.5,3.5,8,25,2,7.23
37,Theo Hernández,6,508,46.7,2.5,1.8,38,4.3,7.22
38,Simon Kjaer,1,65,59,5,2,45,7,7.22
39,Olivier Giroud,6,424,12.2,0.2,-,7.8,4.2,7.21
40,Vinícius Júnior,4,302,19,0.3,-,16.3,2.5,7.20
41,Daley Blind,5,424,53,3,2.2,42,5.8,7.19
42,David Raum,3,244,48,1.7,2,40.3,4,7.19
43,Adrien Rabiot,6,483,45.7,1.5,1.2,37.3,5.7,7.18
44,Kai Havertz,2,103,16,0.5,-,12.5,3,7.18
45,Ritsu Doan,4,218,11.5,0.5,0.5,7.5,3,7.17
